bin,lower_bound,upper_bound,count,mean_confidence,empirical_accuracy,calibration_gap
1,0.0,0.1,0,,,
2,0.1,0.2,0,,,
3,0.2,0.30000000000000004,0,,,
4,0.30000000000000004,0.4,2,0.36936113238334656,0.5,0.13063886761665344
5,0.4,0.5,22,0.47235212271863763,0.36363636363636365,0.10871575908227399
6,0.5,0.6000000000000001,70,0.5478872001171112,0.42857142857142855,0.11931577154568268
7,0.6000000000000001,0.7000000000000001,98,0.6517877298958448,0.3163265306122449,0.33546119928359985
8,0.7000000000000001,0.8,106,0.7543026293223759,0.4056603773584906,0.3486422519638853
9,0.8,0.9,153,0.8531272520426831,0.3790849673202614,0.4740422847224217
10,0.9,1.0,232,0.9479227836789756,0.6120689655172413,0.3358538181617343
