threshold,n_total,n_accepted,n_abstained,coverage,abstention_rate,accepted_accuracy,accepted_risk,accepted_errors,tp,tn,fp,fn,accepted_sensitivity,accepted_specificity,total_malignant,accepted_malignant,abstained_malignant,malignant_coverage,total_non_malignant,accepted_non_malignant,abstained_non_malignant,non_malignant_coverage,malignant_accepted_false_negative_rate,malignant_detected_or_abstained_rate
0.5,683,659,24,0.9648609077598829,0.03513909224011713,0.4613050075872534,0.5386949924127467,355,39,527,42,51,0.43333333333333335,0.9261862917398945,90,90,0,1.0,593,569,24,0.9595278246205734,0.5666666666666667,0.43333333333333335
0.55,683,625,58,0.9150805270863837,0.0849194729136164,0.4592,0.5408,338,38,500,37,50,0.4318181818181818,0.931098696461825,90,88,2,0.9777777777777777,593,537,56,0.9055649241146712,0.5555555555555556,0.4444444444444444
0.6,683,589,94,0.862371888726208,0.1376281112737921,0.46519524617996605,0.534804753820034,315,38,470,34,47,0.4470588235294118,0.9325396825396826,90,85,5,0.9444444444444444,593,504,89,0.8499156829679595,0.5222222222222223,0.4777777777777778
0.65,683,550,133,0.8052708638360175,0.19472913616398244,0.4690909090909091,0.5309090909090909,292,38,436,32,44,0.4634146341463415,0.9316239316239316,90,82,8,0.9111111111111111,593,468,125,0.7892074198988196,0.4888888888888889,0.5111111111111111
0.7,683,491,192,0.718887262079063,0.28111273792093705,0.49490835030549896,0.505091649694501,248,38,387,27,39,0.4935064935064935,0.9347826086956522,90,77,13,0.8555555555555555,593,414,179,0.6981450252951096,0.43333333333333335,0.5666666666666667
0.75,683,443,240,0.6486090775988287,0.3513909224011713,0.49887133182844245,0.5011286681715575,222,35,346,25,37,0.4861111111111111,0.9326145552560647,90,72,18,0.8,593,371,222,0.6256323777403036,0.4111111111111111,0.5888888888888889
0.8,683,385,298,0.5636896046852123,0.4363103953147877,0.5194805194805194,0.48051948051948057,185,33,304,21,27,0.55,0.9353846153846154,90,60,30,0.6666666666666666,593,325,268,0.5480607082630692,0.3,0.7
0.85,683,311,372,0.45534407027818447,0.5446559297218155,0.5434083601286174,0.4565916398713826,142,32,238,18,23,0.5818181818181818,0.9296875,90,55,35,0.6111111111111112,593,256,337,0.4317032040472175,0.25555555555555554,0.7444444444444445
0.9,683,232,451,0.3396778916544656,0.6603221083455344,0.6120689655172413,0.3879310344827587,90,27,177,12,16,0.627906976744186,0.9365079365079365,90,43,47,0.4777777777777778,593,189,404,0.31871838111298484,0.17777777777777778,0.8222222222222222
0.95,683,119,564,0.17423133235724744,0.8257686676427526,0.8403361344537815,0.15966386554621848,19,12,98,4,5,0.7058823529411765,0.9607843137254902,90,17,73,0.18888888888888888,593,102,491,0.17200674536256325,0.05555555555555555,0.9444444444444444
